@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute fingersnapornot {yes,no}

@data
-19.29035,6.728637,7.00159,1.035832,11.14315,12.70457,-1.597122,1.176396,0.488815,2.011375,-3.044717,6.220436,18.60443,1.437401,0.429685,-0.788324,-0.049654,-2.072027,-0.85478,2.901257,1.165072,-0.441627,-1.641166,0.015255,-2.7947,0.083923,-1.242891,-1.824992,-0.796611,-0.205257,0.270523,-1.424668,-1.657648,-0.003737,0.051764,1.049362,-0.289207,0.299765,0.313768,yes
-15.14753,8.940206,9.739077,6.058812,7.562868,11.40079,7.893713,10.18309,8.866439,9.632527,-5.080007,-7.961216,18.86136,-0.805745,-2.469803,-1.291235,0.902612,-0.883668,-4.018454,-0.597516,1.676826,-0.49789,1.170555,-1.019382,-3.707809,0.803469,-1.310445,-2.474774,-1.502341,-1.577462,0.061536,-1.627678,-2.256315,-0.096883,0.288812,0.56214,-0.169343,0.78323,0.382759,yes
-14.17476,7.771276,1.691225,-1.72393,2.573151,9.082566,8.163744,2.498407,-5.908134,-10.00503,-1.950797,-0.66224,18.89558,-3.655481,-7.245531,-4.519926,-1.55207,-1.313591,-6.396283,-3.637598,0.890508,-0.154677,2.199782,-0.913462,-0.839319,1.292989,-0.285255,-1.72168,-1.653157,-2.427591,-0.441424,-0.80672,-1.62281,0.151583,1.13423,0.251615,-0.10659,0.688275,0.233236,yes
-25.87687,-6.141698,3.200598,6.928772,11.00981,-5.576692,-9.465135,8.899519,1.197839,13.87236,-8.688585,-8.877273,22.4762,-2.568382,-8.106579,-6.434229,-7.185756,-2.143564,-6.222416,-5.110892,0.817941,0.858958,-0.750941,-0.3671,0.143759,1.393185,1.341341,0.62323,-0.766639,-2.031502,-0.924545,1.342672,0.930928,-0.029438,1.074464,-1.531947,0.745959,0.690228,-0.20118,yes
-32.20309,-21.95807,-12.3288,-7.159497,2.851722,-10.7881,-11.10569,6.27072,3.549728,10.89037,-5.807739,2.481867,23.26196,0.892446,-5.360327,-6.482611,-8.143425,-3.649197,-3.7864,-2.956105,2.352429,4.551098,0.577657,-0.843837,-1.279109,0.955243,1.773653,2.909009,1.688679,0.663215,-0.171498,2.601795,2.362602,-0.480442,0.365271,-1.855748,1.009306,0.3368,-0.537727,yes
-18.97527,-16.72802,-15.42206,-27.15218,-3.294238,-9.775957,-8.026032,12.38664,8.432299,-4.569878,-4.987033,-8.814472,23.6441,3.626995,-0.296257,-4.143086,-5.959222,-4.33859,1.389964,3.716375,0.798675,2.521544,-5.67812,2.675603,-0.036773,-0.033561,0.253325,2.960929,3.2079,3.372288,1.313846,2.63317,2.462125,-0.964301,-0.883625,-0.556349,0.754787,0.743715,-0.668318,yes
-13.16333,-13.7372,-21.41051,-25.40058,-8.520814,-7.749802,-7.336334,12.51699,13.23013,2.104368,-8.020759,-7.089188,23.08784,2.115098,3.394356,2.777896,1.150736,-1.073567,2.806504,3.761781,-1.502067,0.840385,-4.61537,2.611716,0.934949,-0.682274,-1.293539,1.622848,3.238999,3.379116,2.456274,1.618055,1.200835,-0.960312,-1.874123,0.267345,0.182118,0.842541,-0.51394,yes
-17.26178,-11.73342,-12.97398,-13.7468,-4.996878,-0.146024,7.232063,9.769755,8.965361,-10.12524,5.795938,-4.275611,22.39545,-1.913084,2.320724,4.975015,5.028608,3.13785,3.646983,3.840789,-2.076318,-1.703811,-0.936171,1.679061,2.755303,-1.129646,-1.510083,-0.011706,1.493154,1.475326,2.235661,0.118305,-0.663273,-0.00911,-1.200203,1.935038,-1.100722,0.079328,-0.178878,yes
-22.48435,-7.483583,0.336641,-8.10851,-1.664794,-1.570545,0.074166,0.068824,7.48512,-9.408796,1.859354,4.887179,20.47491,-2.805212,1.44542,5.153332,3.258242,4.893951,3.175362,2.985859,-1.011635,-2.706837,-0.456595,0.565022,1.537557,-1.066413,-0.433871,-0.879681,-0.909872,-0.798509,0.711796,-0.468698,-0.761698,0.885248,-0.356257,1.445045,-1.006361,-0.693197,0.128929,yes
-23.88018,-8.251204,-1.420556,-10.65518,8.967001,5.369331,7.472663,8.229132,2.785748,-3.494151,-1.531785,-1.026139,19.30234,-1.463264,0.61968,2.134965,0.363657,3.855955,1.797058,0.78797,0.507906,-1.70586,1.917683,-1.804659,0.058563,-0.73588,0.635221,-0.624039,-1.54548,-1.382479,-0.904329,-0.908135,-0.918774,0.679633,0.517459,0.351187,-0.460137,-0.823083,0.309119,yes
